sequence,method_id,readable_name,family,comparison_type,audit_status,version,mask_protocol,baseline,next_decision,failure_reason,JM_or_mask_JM,JR,F,PSNR_proxy,PSNR_synthetic,SSIM,n_frames,routing_or_prompt,quality_note,metrics_source,mask_frames,masked_in,inpaint_out,script_path,config_path,deliverable_dir,plain_explanation,current_takeaway
koala,sam3_rebuild_v1_mask_only,SAM3 rebuild v1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.7518,0.8000,0.6063,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_part3_sam3_rebuild_v1.csv,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/koala,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/koala/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/koala/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/koala/sam3_rebuild_v1_mask_only,这是后来重建的一条 SAM3 主线，和 multi-object 不是完全同一个产物来源。,它是重要的重建实验，但不是所有序列最终都用它。
bear,sam3_rebuild_v1_mask_only,SAM3 rebuild v1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.9571,1.0000,0.9026,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_part3_sam3_rebuild_v1.csv,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/bear,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/bear/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/bear/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/bear/sam3_rebuild_v1_mask_only,这是后来重建的一条 SAM3 主线，和 multi-object 不是完全同一个产物来源。,它是重要的重建实验，但不是所有序列最终都用它。
camel,sam3_rebuild_v1_mask_only,SAM3 rebuild v1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.9693,1.0000,0.9765,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_part3_sam3_rebuild_v1.csv,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/camel,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/camel/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/camel/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/camel/sam3_rebuild_v1_mask_only,这是后来重建的一条 SAM3 主线，和 multi-object 不是完全同一个产物来源。,它是重要的重建实验，但不是所有序列最终都用它。
wild_video-1person,sam3_rebuild_v1_mask_only,SAM3 rebuild v1 mask,direction_a,mask_only,exploratory,legacy,,,,,,,,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/wild/wild_video-1person,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/wild/wild_video-1person/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/wild/wild_video-1person/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/wild_video-1person/sam3_rebuild_v1_mask_only,这是后来重建的一条 SAM3 主线，和 multi-object 不是完全同一个产物来源。,它是重要的重建实验，但不是所有序列最终都用它。
tennis,sam3_rebuild_v1_propainter_full_pipeline,SAM3 rebuild v1 + ProPainter,direction_a,full_pipeline,exploratory,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/tennis,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/tennis/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/tennis/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/sam3_rebuild_v1_propainter_full_pipeline,这是 rebuild v1 接 ProPainter 的完整流程，用来和 multi-object 路线分开看。,它更像一条对照和重建路线，不是目前最统一的最终版本。
bmx-trees,sam3_rebuild_v1_propainter_full_pipeline,SAM3 rebuild v1 + ProPainter,direction_a,full_pipeline,exploratory,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/bmx-trees,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/bmx-trees/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/bmx-trees/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/sam3_rebuild_v1_propainter_full_pipeline,这是 rebuild v1 接 ProPainter 的完整流程，用来和 multi-object 路线分开看。,它更像一条对照和重建路线，不是目前最统一的最终版本。
blackswan,sam3_rebuild_v1_propainter_full_pipeline,SAM3 rebuild v1 + ProPainter,direction_a,full_pipeline,exploratory,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/blackswan,,,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/blackswan/sam3_rebuild_v1_propainter_full_pipeline,这是 rebuild v1 接 ProPainter 的完整流程，用来和 multi-object 路线分开看。,它更像一条对照和重建路线，不是目前最统一的最终版本。
car-shadow,sam3_rebuild_v1_propainter_full_pipeline,SAM3 rebuild v1 + ProPainter,direction_a,full_pipeline,exploratory,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/car-shadow,,,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/car-shadow/sam3_rebuild_v1_propainter_full_pipeline,这是 rebuild v1 接 ProPainter 的完整流程，用来和 multi-object 路线分开看。,它更像一条对照和重建路线，不是目前最统一的最终版本。
horsejump-low,sam3_rebuild_v1_propainter_full_pipeline,SAM3 rebuild v1 + ProPainter,direction_a,full_pipeline,exploratory,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/horsejump-low,,,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/sam3_rebuild_v1_propainter_full_pipeline,这是 rebuild v1 接 ProPainter 的完整流程，用来和 multi-object 路线分开看。,它更像一条对照和重建路线，不是目前最统一的最终版本。
koala,sam3_rebuild_v1_propainter_full_pipeline,SAM3 rebuild v1 + ProPainter,direction_a,full_pipeline,exploratory,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/koala,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/koala/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/koala/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/koala/sam3_rebuild_v1_propainter_full_pipeline,这是 rebuild v1 接 ProPainter 的完整流程，用来和 multi-object 路线分开看。,它更像一条对照和重建路线，不是目前最统一的最终版本。
bear,sam3_rebuild_v1_propainter_full_pipeline,SAM3 rebuild v1 + ProPainter,direction_a,full_pipeline,exploratory,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/bear,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/bear/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/bear/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/bear/sam3_rebuild_v1_propainter_full_pipeline,这是 rebuild v1 接 ProPainter 的完整流程，用来和 multi-object 路线分开看。,它更像一条对照和重建路线，不是目前最统一的最终版本。
camel,sam3_rebuild_v1_propainter_full_pipeline,SAM3 rebuild v1 + ProPainter,direction_a,full_pipeline,exploratory,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/camel,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/camel/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/camel/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/camel/sam3_rebuild_v1_propainter_full_pipeline,这是 rebuild v1 接 ProPainter 的完整流程，用来和 multi-object 路线分开看。,它更像一条对照和重建路线，不是目前最统一的最终版本。
wild_video-1person,sam3_rebuild_v1_propainter_full_pipeline,SAM3 rebuild v1 + ProPainter,direction_a,full_pipeline,exploratory,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/wild/wild_video-1person,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/wild/wild_video-1person/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/wild/wild_video-1person/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/wild_video-1person/sam3_rebuild_v1_propainter_full_pipeline,这是 rebuild v1 接 ProPainter 的完整流程，用来和 multi-object 路线分开看。,它更像一条对照和重建路线，不是目前最统一的最终版本。
tennis,gdino_sam2_stage1_mask_only,GDINO + SAM2 Stage1 mask,direction_a,mask_only,stable,legacy,,,,,0.9310,,0.9591,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage1/tennis,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/gdino_sam2_stage1_mask_only,GDINO 先根据文字找框，再交给 SAM2 做 mask 和传播。这是比较稳的历史主线。,在当前数据里，它依然是很强的参照，尤其 bmx-trees 上比 SAM3 更稳。
bmx-trees,gdino_sam2_stage1_mask_only,GDINO + SAM2 Stage1 mask,direction_a,mask_only,stable,legacy,,,,,0.7455,,0.7961,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage1/bmx-trees,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/gdino_sam2_stage1_mask_only,GDINO 先根据文字找框，再交给 SAM2 做 mask 和传播。这是比较稳的历史主线。,在当前数据里，它依然是很强的参照，尤其 bmx-trees 上比 SAM3 更稳。
blackswan,gdino_sam2_stage1_mask_only,GDINO + SAM2 Stage1 mask,direction_a,mask_only,stable,legacy,,,,,0.9552,,0.9283,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage1/blackswan,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/blackswan/gdino_sam2_stage1_mask_only,GDINO 先根据文字找框，再交给 SAM2 做 mask 和传播。这是比较稳的历史主线。,在当前数据里，它依然是很强的参照，尤其 bmx-trees 上比 SAM3 更稳。
car-shadow,gdino_sam2_stage1_mask_only,GDINO + SAM2 Stage1 mask,direction_a,mask_only,stable,legacy,,,,,0.9749,,0.9493,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage1/car-shadow,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/car-shadow/gdino_sam2_stage1_mask_only,GDINO 先根据文字找框，再交给 SAM2 做 mask 和传播。这是比较稳的历史主线。,在当前数据里，它依然是很强的参照，尤其 bmx-trees 上比 SAM3 更稳。
horsejump-low,gdino_sam2_stage1_mask_only,GDINO + SAM2 Stage1 mask,direction_a,mask_only,stable,legacy,,,,,0.7237,,0.7698,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage1/horsejump-low,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/gdino_sam2_stage1_mask_only,GDINO 先根据文字找框，再交给 SAM2 做 mask 和传播。这是比较稳的历史主线。,在当前数据里，它依然是很强的参照，尤其 bmx-trees 上比 SAM3 更稳。
tennis,gdino_sam2_stage2_mask_only,GDINO + SAM2 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.8411,,0.8739,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage2/tennis,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/gdino_sam2_stage2_mask_only,这条路线尝试在视频中间重新找框，想解决长视频漂移问题。,当前整体不如 Stage1 稳，说明重锚不是越多越好。
bmx-trees,gdino_sam2_stage2_mask_only,GDINO + SAM2 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.5811,,0.6740,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage2/bmx-trees,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/gdino_sam2_stage2_mask_only,这条路线尝试在视频中间重新找框，想解决长视频漂移问题。,当前整体不如 Stage1 稳，说明重锚不是越多越好。
blackswan,gdino_sam2_stage2_mask_only,GDINO + SAM2 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.9542,,0.9211,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage2/blackswan,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/blackswan/gdino_sam2_stage2_mask_only,这条路线尝试在视频中间重新找框，想解决长视频漂移问题。,当前整体不如 Stage1 稳，说明重锚不是越多越好。
car-shadow,gdino_sam2_stage2_mask_only,GDINO + SAM2 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.9730,,0.9477,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage2/car-shadow,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/car-shadow/gdino_sam2_stage2_mask_only,这条路线尝试在视频中间重新找框，想解决长视频漂移问题。,当前整体不如 Stage1 稳，说明重锚不是越多越好。
horsejump-low,gdino_sam2_stage2_mask_only,GDINO + SAM2 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.6922,,0.7340,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/stage2/horsejump-low,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline.yaml,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/gdino_sam2_stage2_mask_only,这条路线尝试在视频中间重新找框，想解决长视频漂移问题。,当前整体不如 Stage1 稳，说明重锚不是越多越好。
tennis,gdino_sam3_stage1_mask_only,GDINO + SAM3 Stage1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.8255,,0.8282,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage1/tennis,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/gdino_sam3_stage1_mask_only,GDINO 负责找框，SAM3 负责分割和传播，用来回答“把 SAM2 换成 SAM3 是否整体变强”。,它在部分序列有亮点，但整体还没有超过 GDINO+SAM2 Stage1。
bmx-trees,gdino_sam3_stage1_mask_only,GDINO + SAM3 Stage1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.1843,,0.2192,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage1/bmx-trees,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/gdino_sam3_stage1_mask_only,GDINO 负责找框，SAM3 负责分割和传播，用来回答“把 SAM2 换成 SAM3 是否整体变强”。,它在部分序列有亮点，但整体还没有超过 GDINO+SAM2 Stage1。
blackswan,gdino_sam3_stage1_mask_only,GDINO + SAM3 Stage1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.9560,,0.9355,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage1/blackswan,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3.yaml,/data3/jli657/project3/part3/part3_deliverables/blackswan/gdino_sam3_stage1_mask_only,GDINO 负责找框，SAM3 负责分割和传播，用来回答“把 SAM2 换成 SAM3 是否整体变强”。,它在部分序列有亮点，但整体还没有超过 GDINO+SAM2 Stage1。
car-shadow,gdino_sam3_stage1_mask_only,GDINO + SAM3 Stage1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.9732,,0.9579,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage1/car-shadow,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3.yaml,/data3/jli657/project3/part3/part3_deliverables/car-shadow/gdino_sam3_stage1_mask_only,GDINO 负责找框，SAM3 负责分割和传播，用来回答“把 SAM2 换成 SAM3 是否整体变强”。,它在部分序列有亮点，但整体还没有超过 GDINO+SAM2 Stage1。
horsejump-low,gdino_sam3_stage1_mask_only,GDINO + SAM3 Stage1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.7609,,0.7440,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage1/horsejump-low,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3.yaml,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/gdino_sam3_stage1_mask_only,GDINO 负责找框，SAM3 负责分割和传播，用来回答“把 SAM2 换成 SAM3 是否整体变强”。,它在部分序列有亮点，但整体还没有超过 GDINO+SAM2 Stage1。
tennis,gdino_sam3_stage2_mask_only,GDINO + SAM3 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.7657,,0.8162,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage2/tennis,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3_stage2.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/gdino_sam3_stage2_mask_only,这是 GDINO+SAM3 再加稀疏重锚的版本，原本想提高长时稳定性。,当前它比 GDINO+SAM3 Stage1 还低，说明现有重锚设计不够稳。
bmx-trees,gdino_sam3_stage2_mask_only,GDINO + SAM3 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.3651,,0.4534,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage2/bmx-trees,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3_stage2.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/gdino_sam3_stage2_mask_only,这是 GDINO+SAM3 再加稀疏重锚的版本，原本想提高长时稳定性。,当前它比 GDINO+SAM3 Stage1 还低，说明现有重锚设计不够稳。
blackswan,gdino_sam3_stage2_mask_only,GDINO + SAM3 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.9561,,0.9356,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage2/blackswan,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3_stage2.yaml,/data3/jli657/project3/part3/part3_deliverables/blackswan/gdino_sam3_stage2_mask_only,这是 GDINO+SAM3 再加稀疏重锚的版本，原本想提高长时稳定性。,当前它比 GDINO+SAM3 Stage1 还低，说明现有重锚设计不够稳。
car-shadow,gdino_sam3_stage2_mask_only,GDINO + SAM3 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.7122,,0.7147,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage2/car-shadow,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3_stage2.yaml,/data3/jli657/project3/part3/part3_deliverables/car-shadow/gdino_sam3_stage2_mask_only,这是 GDINO+SAM3 再加稀疏重锚的版本，原本想提高长时稳定性。,当前它比 GDINO+SAM3 Stage1 还低，说明现有重锚设计不够稳。
horsejump-low,gdino_sam3_stage2_mask_only,GDINO + SAM3 Stage2 稀疏重锚 mask,direction_a,mask_only,exploratory,legacy,,,,,0.6366,,0.6253,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/gdino_ablation.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/stage2/horsejump-low,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_mainline_sam3_stage2.yaml,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/gdino_sam3_stage2_mask_only,这是 GDINO+SAM3 再加稀疏重锚的版本，原本想提高长时稳定性。,当前它比 GDINO+SAM3 Stage1 还低，说明现有重锚设计不够稳。
tennis,gdino_sam3_o2o_mask_only,GDINO + SAM3 + O2O 时序关联,direction_a,mask_only,promising,legacy,,,,,0.7860,0.9571,0.8083,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/eval_sam3_innov_o2o.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/innovation/o2o_assoc/tennis,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_sam3_innov_o2o.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/gdino_sam3_o2o_mask_only,这条创新是给相邻帧做更严格的一对一关联，减少 ID 混乱和错配。,这是目前 GDINO+SAM3 创新里最有正向信号的一条。
bmx-trees,gdino_sam3_o2o_mask_only,GDINO + SAM3 + O2O 时序关联,direction_a,mask_only,promising,legacy,,,,,0.4780,0.5375,0.5229,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/data3/jli657/project3/part3/gdino_vlm/eval_sam3_innov_o2o.csv,/data3/jli657/project3/part3/gdino_vlm/masks/sam3/innovation/o2o_assoc/bmx-trees,,,/data3/jli657/project3/part3/gdino_vlm/run_gdino_mainline.py,/data3/jli657/project3/part3/configs/gdino_vlm_sam3_innov_o2o.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/gdino_sam3_o2o_mask_only,这条创新是给相邻帧做更严格的一对一关联，减少 ID 混乱和错配。,这是目前 GDINO+SAM3 创新里最有正向信号的一条。
